academy award
action figure
band aid
battle cry
blank shells
blood bath
body whorl
box office
brain drain
brass knuckles
bull market
cadet branch
cat fight
catch phrase
chain smoker
death row
face value
family tree
feature film
field goal
flag stop
flea market
food chain
front line
gag rule
ghost town
gold rush
goose bumps
grass roots
greenhouse gas
ground rule
guinea pig
gun dog
hard core
hard disk
hard drive
heavy metal
home front
home run
injury time
jet lag
leaf spring
leap year
lift hill
love triangle
lump sum
mind map
morning glory
news anchor
operating system
pen name
people skills
pig iron
point guard
power train
price point
real estate
roller coaster
shelf life
shot put
silver age
sister ship
snub cube
soap opera
space race
square root
stop word
story arc
story line
straw man
straw poll
sweat pants
tag line
tag team
tax haven
think tank
time frame
top dog
top notch
umbrella organization
umbrella term
zip code
