shift copy reverse append append copy shift L S P , copy prepend reverse echo A J G F , reverse reverse echo D Z R T H , echo echo echo I V T B	B B B T V I A J G F F H H T R Z D L P S B
prepend reverse prepend shift copy H A C V , copy echo T Y A , I M A G E	I M A G E H V C A A A Y T
echo copy append append V P R , W H C Q R , reverse echo echo R B Y	V P R W H C Q R Y Y Y B R R
echo prepend shift reverse E U E D , B O X	B O X E U E D D
reverse reverse U U O X	U U O X
reverse shift prepend append G Q H Y , C G Q R , F X H I T	F R Q G C Y H Q G T I H X
copy append reverse copy shift R A F M , append reverse Q L B V A , echo copy Y K J A	R M F A A V B L Q Y K J A A
echo append W J E B , J R O I B	W J E B J R O I B B
copy prepend shift append copy shift shift reverse W Q G P X , shift Y X V D Y , shift echo copy shift H Y U T J	U T J H H Y Q W X P X V D Y Y G
reverse shift append reverse O T Y J G , D Y Q Q	G Q Q Y D O T Y J
shift prepend echo D O X , U I B	I B D O X X U
copy append shift echo echo A C N M P , copy echo copy G N A J H	C N M P P P A G N A J H H
reverse T D I N J	J N I D T
shift prepend shift Q J J , Q E R	E R J J Q Q
append echo copy U J S M , copy reverse shift N O H B P	U J S M M N P B H O
append copy append U O C C N , shift H I V Y , T P V W T	U O C C N I V Y H T P V W T
copy shift prepend P G X W , X Y S E	Y S E P G X W X
shift echo prepend Y W B V L , N R B	R B Y W B V L L N
prepend shift echo reverse L G U R C , prepend append echo K A Y N K , shift P M X Z F , append reverse Q G Y X W , L Y Y P S	W X Y G Q L Y Y P S K A Y N K K M X Z F P R U G L L C
prepend shift prepend F B J K , V P Z C , append shift L D T V K , echo copy append Y K T M H , U M Y S	D T V K L Y K T M H U M Y S S P Z C F B J K V
append shift copy C A B I , copy prepend V E Z K Z , append M I D Q B , K G D B	A B I C M I D Q B K G D B V E Z K Z
prepend echo reverse K F F I G , reverse echo echo M Q N T	T T T N Q M G I F F K K
append I N X G , reverse echo reverse shift prepend S U P K E , N J X K	I N X G J J X K S U P K E N
prepend copy append K R A M V , L P D A , echo R K P I	R K P I I K R A M V L P D A
prepend echo copy U C S , reverse Q J X J C	C J X J Q U C S S
shift copy copy H E I A Y	E I A Y H
prepend echo prepend prepend echo V Y R C , I L M Z , shift D Q R J J , F K D L O	F K D L O Q R J J D I L M Z V Y R C C C
prepend reverse append shift append E C T F , M I C , shift copy append shift shift C W U O P , copy G W C , shift reverse copy shift shift C G M W	C W M G U C W G W C P O E C I M F T C
echo append copy reverse reverse copy shift A K T , copy reverse reverse reverse M Y W A	K T A A W Y M M
shift append reverse copy copy D D O G , O G P	O D D O G P G
reverse append D Y J X R , prepend copy append copy echo echo echo U E F R G , reverse reverse copy echo Y C R O C , F I M N	C C O R C Y G G G G R F E U N M I F R X J Y D
append echo echo C W L G I , append copy reverse echo H U L M , echo N N R T U	C W L G I I I M M L U H N N R T U U
append echo echo append echo echo J H H E B , copy N T N F F , shift echo reverse shift R V D X M	J H H E B B B N T N F F F F M X D V V R
append echo F E Y F S , copy append E V V Z , copy W P Z Q C	F E Y F S S E V V Z W P Z Q C
